location	station	Affiliations	website	city	state	broadcaster	source	collection_date
Charleston - Huntington, WV	WCHS	ABC, FOX	https://www.wchstv.comNewsletter	Charleston - Huntington	WV	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Charleston - Huntington, WV	WVAH		https://www.wvah.com	Charleston - Huntington	WV	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Charleston, SC	WCIV	MyTV, ABC	https://mytvcharleston.com/https://www.abcnews4.com	Charleston	SC	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Chattanooga, TN	WFLI	CW, MyTV	https://chattanoogacw.com	Chattanooga	TN	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Chattanooga, TN	WTVC	ABC, FOX	https://newschannel9.com/https://www.foxchattanooga.comNewsletter	Chattanooga	TN	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Chico-Redding	KCVU	FOX		Chico-Redding		Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Chico-Redding	KRVU-LD	MyTV, Univision		Chico-Redding		Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Chico-Redding	KUCO-LP	Univision		Chico-Redding		Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Chico-Redding	KKTF-LD			Chico-Redding		Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Cincinnati, OH	WKRC	CBS, CW	https://www.local12.comhttps://cwcincinnati.com/Newsletter	Cincinnati	OH	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Cincinnati, OH	WSTR	MyTV	https://www.star64.tv	Cincinnati	OH	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Columbia - Jefferson City, MO	KRCG	CBS	https://krcgtv.com/Newsletter	Columbia - Jefferson City	MO	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
